epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6378,2.14528,6.31257,1.72768,0.00233,1,0.57572,0.37148,1.31135,3.9748,1.12386,0.00018,0.00018,0.00018
2,122.837,1.25158,3.85381,1.04561,0.00233,1,0.8923,0.67403,0.74219,3.33971,0.78196,0.00034238,0.00034238,0.00034238
3,167.958,1.05401,3.2956,0.95989,0.00233,1,0.99033,0.73577,0.67824,3.18802,0.75298,0.00046516,0.00046516,0.00046516
4,204.229,0.92944,3.41931,0.92943,0.00233,1,0.95396,0.70863,0.79725,3.3225,0.8057,0.00054834,0.00054834,0.00054834
5,238.353,0.89834,3.1113,0.9303,1,0.2813,0.87164,0.53663,0.8394,3.41107,0.85847,0.00059192,0.00059192,0.00059192
6,277.764,0.9338,3,0.92248,1,0.70605,0.90321,0.56131,0.91312,3.01947,0.95314,0.0005959,0.0005959,0.0005959
7,316.997,0.91163,2.93106,0.93312,0.78387,0.71429,0.86374,0.56121,0.83319,2.74755,0.85637,0.00056028,0.00056028,0.00056028
8,359.932,0.91212,2.80449,0.9424,0.89866,0.85714,0.93298,0.79267,0.66933,2.45864,0.77569,0.00048506,0.00048506,0.00048506
9,405.437,0.80836,2.95596,0.88627,0.93971,0.85714,0.95271,0.80272,0.60402,2.43571,0.76589,0.00037024,0.00037024,0.00037024
10,444.949,0.74634,2.37803,0.875,0.92919,0.93784,0.981,0.84086,0.63556,2.04963,0.74967,0.00021582,0.00021582,0.00021582
